stable_id,mmsi,imo,flag_norm,vessel_type_norm,nav_status_norm,destination_norm,port_name_norm,locode_norm,timestamp_date,timestamp_full,latitude,longitude
212575000_2022-02-11T12-18-57_00-00_LVLPX_port_call,212575000,9143788,UNKNOWN,cargo ship,unknown,FIKAS,liepaja,LVLPX,2022-02-11,2022-02-11T12:18:57+00:00,,
230623000_2022-02-11T15-52-34_00-00_FITKU_port_call,230623000,9468918,UNKNOWN,cargo ship,unknown,TRAVEMUNDE,turku,FITKU,2022-02-11,2022-02-11T15:52:34+00:00,,
266232000_2022-02-11T20-08-13_00-00_FIKAS_port_call,266232000,9334959,UNKNOWN,cargo ship,unknown,SEHUS,kaskinen,FIKAS,2022-02-11,2022-02-11T20:08:13+00:00,,
244321000_2022-02-12T07-50-09_00-00_SEGOT_port_call,244321000,9306691,UNKNOWN,cargo ship,unknown,SEOTT,göteborg,SEGOT,2022-02-12,2022-02-12T07:50:09+00:00,,
246873000_2022-02-13T23-18-31_00-00_LVVNT_port_call,246873000,9658109,UNKNOWN,cargo ship,unknown,VENTSPILS,ventspils,LVVNT,2022-02-13,2022-02-13T23:18:31+00:00,,
352102000_2022-02-14T04-46-18_00-00_LVVNT_port_call,352102000,9223643,UNKNOWN,cargo ship,unknown,LV VNT,ventspils,LVVNT,2022-02-14,2022-02-14T04:46:18+00:00,,
244130689_2022-02-14T08-31-16_00-00_FIKTK_port_call,244130689,9443554,UNKNOWN,cargo ship,unknown,RULED,kotka,FIKTK,2022-02-14,2022-02-14T08:31:16+00:00,,
255718000_2022-02-14T19-47-15_00-00_SEGOT_port_call,255718000,9365489,UNKNOWN,tanker,unknown,NOMON,göteborg,SEGOT,2022-02-14,2022-02-14T19:47:15+00:00,,
212575000_2022-02-15T05-45-26_00-00_FIKAS_port_call,212575000,9143788,UNKNOWN,cargo ship,unknown,FRHON,kaskinen,FIKAS,2022-02-15,2022-02-15T05:45:26+00:00,,
256717000_2022-02-16T06-48-11_00-00_PLGDY_port_call,256717000,9407225,UNKNOWN,tanker,unknown,RIGA,gdynia,PLGDY,2022-02-16,2022-02-16T06:48:11+00:00,,
275519000_2022-02-16T11-04-36_00-00_FITOR_port_call,275519000,9281786,UNKNOWN,cargo ship,unknown,FITOR,tornio,FITOR,2022-02-16,2022-02-16T11:04:36+00:00,,
236153000_2022-02-18T01-45-53_00-00_SELLA_port_call,236153000,9199414,UNKNOWN,cargo ship,unknown,FIRAA SELLA,luleå,SELLA,2022-02-18,2022-02-18T01:45:53+00:00,,
246558000_2022-02-18T17-02-49_00-00_SEGOT_port_call,246558000,9197791,UNKNOWN,cargo ship,unknown,HULL,göteborg,SEGOT,2022-02-18,2022-02-18T17:02:49+00:00,,
